,subset,A_ref,A_metric,A_align,A_CR_pearson,A_label,B_ref,B_metric,B_align,B_CR_pearson,B_label,A_B_pearson,A_B_sign_pv,A_B_sign_level
84,both,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,ref,comet-da,sent,0.796103953683119,comet-da ref sent,0.707598336194947,0.0,0.0
85,both,ref,comet-da,sent,0.796103953683119,comet-da ref sent,intp,bertscore.f1,mwer,0.5960791536306533,bertscore.f1 intp mwer,0.707598336194947,0.0,0.0
86,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,0.7594323213787173,0.9259885876067486,0.9259885876067486
87,both,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7594323213787173,0.9259885876067486,0.9259885876067486
88,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref,bleu,sent,0.6539359872387543,bleu ref sent,0.6378104268020474,0.8040415157608698,0.8040415157608698
89,both,ref,bleu,sent,0.6539359872387543,bleu ref sent,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.6378104268020474,0.8040415157608698,0.8040415157608698
90,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,intp,chrf,one_seq,0.6616671905938879,chrf intp one_seq,0.8202196720542175,0.3969053219471408,0.3969053219471408
91,both,intp,chrf,one_seq,0.6616671905938879,chrf intp one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.8202196720542175,0.3969053219471408,0.3969053219471408
92,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref+mw-intp,bleu,sent+mw,0.6767748075810378,bleu ref+mw-intp sent+mw,0.7272951982523224,0.12418946368253092,0.15
93,both,ref+mw-intp,bleu,sent+mw,0.6767748075810378,bleu ref+mw-intp sent+mw,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7272951982523224,0.12418946368253092,0.15
94,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,intp,bertscore.f1,one_seq,0.6882929980244962,bertscore.f1 intp one_seq,0.7911034777575326,0.013620771527208975,0.05
95,both,intp,bertscore.f1,one_seq,0.6882929980244962,bertscore.f1 intp one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7911034777575326,0.013620771527208975,0.05
96,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,intp,comet-da,mwer,0.7066723834504169,comet-da intp mwer,0.6962818085169258,0.0018669253831082866,0.0
97,both,intp,comet-da,mwer,0.7066723834504169,comet-da intp mwer,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.6962818085169258,0.0018669253831082866,0.0
98,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref,bleu,one_seq,0.7095519042055043,bleu ref one_seq,0.7189168786271355,0.0007110204667000186,0.0
99,both,ref,bleu,one_seq,0.7095519042055043,bleu ref one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7189168786271355,0.0007110204667000186,0.0
100,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref,chrf,one_seq,0.7226648324543509,chrf ref one_seq,0.7776152194700537,3.7852160910123445e-06,0.0
101,both,ref,chrf,one_seq,0.7226648324543509,chrf ref one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7776152194700537,3.7852160910123445e-06,0.0
102,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref+intp,chrf,one_seq,0.7234598968042771,chrf ref+intp one_seq,0.7885503904485897,1.7166803600865421e-06,0.0
103,both,ref+intp,chrf,one_seq,0.7234598968042771,chrf ref+intp one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7885503904485897,1.7166803600865421e-06,0.0
104,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref,chrf,sent,0.7313755210409066,chrf ref sent,0.7151818555788825,2.963477703010753e-06,0.0
105,both,ref,chrf,sent,0.7313755210409066,chrf ref sent,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7151818555788825,2.963477703010753e-06,0.0
106,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref+intp,bleu,one_seq,0.733119580654065,bleu ref+intp one_seq,0.8234946354238879,3.044978713617752e-09,0.0
107,both,ref+intp,bleu,one_seq,0.733119580654065,bleu ref+intp one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.8234946354238879,3.044978713617752e-09,0.0
108,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref+mw-intp,chrf,sent+mw,0.7340179156286448,chrf ref+mw-intp sent+mw,0.7385218484874617,5.185925018302839e-07,0.0
109,both,ref+mw-intp,chrf,sent+mw,0.7340179156286448,chrf ref+mw-intp sent+mw,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7385218484874617,5.185925018302839e-07,0.0
110,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref,bertscore.f1,one_seq,0.752858469570867,bertscore.f1 ref one_seq,0.7357890480514456,4.743458958955671e-10,0.0
111,both,ref,bertscore.f1,one_seq,0.752858469570867,bertscore.f1 ref one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7357890480514456,4.743458958955671e-10,0.0
112,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref+intp,bertscore.f1,one_seq,0.7557943345451409,bertscore.f1 ref+intp one_seq,0.7441224428301919,7.238942778542423e-11,0.0
113,both,ref+intp,bertscore.f1,one_seq,0.7557943345451409,bertscore.f1 ref+intp one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7441224428301919,7.238942778542423e-11,0.0
114,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,intp,comet-da,one_seq,0.7666194865813799,comet-da intp one_seq,0.7573695685240456,9.992007221626409e-14,0.0
115,both,intp,comet-da,one_seq,0.7666194865813799,comet-da intp one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7573695685240456,9.992007221626409e-14,0.0
